,Government,,Catholic,,Independent,,Total Sum of FTE Enrolments,Total Sum of No Of Schools
Row Labels,Sum of FTE Enrolments,Sum of No Of Schools,Sum of FTE Enrolments,Sum of No Of Schools,Sum of FTE Enrolments,Sum of No Of Schools,,
Alpine (S),1320.4,9,360.7,2,,,1681.1,11
Ararat (RC),1096.1,11,727,2,,,1823.1,13
Ballarat (C),10618.7,28,6216,13,3095.6,4,19930.3,45
Banyule (C),13496.6,28,6850.6,12,2488.5,3,22835.7,43
Bass Coast (S),3311.9,10,272,1,932.8,2,4516.7,13
Baw Baw (S),5761.1,30,1688.6,4,1520.4,3,8970.1,37
Bayside (C),8657.1,14,3611.8,10,4941.8,3,17210.7,27
Benalla (RC),1015.1,5,688,2,65,2,1768.1,9
Boroondara (C),16124.5,27,6090.8,14,12598.8,15,34814.1,56
Brimbank (C),19214.3,38,8256.6,19,2560,2,30030.9,59
Buloke (S),939.1,7,135,3,,,1074.1,10
Campaspe (S),4174.6,19,2305,6,43.6,1,6523.2,26
Cardinia (S),9429.5,22,3387.5,7,4042.2,4,16859.2,33
Casey (C),36868.3,53,7502.8,14,7287.2,7,51658.3,74
Central Goldfields (S),1468.2,6,251,1,414,1,2133.2,8
Colac-Otway (S),1838.9,13,1459.6,4,,,3298.5,17
Corangamite (S),1883,11,922,3,,,2805,14
Darebin (C),13482.6,27,3431.6,12,945,3,17859.2,42
East Gippsland (S),4507.2,32,1586.8,4,255,2,6349,38
Frankston (C),17037.5,32,2251.8,7,2164,2,21453.3,41
Gannawarra (S),1053.3,10,215.2,2,119,1,1387.5,13
Glen Eira (C),11111.3,20,3169.6,9,6471.8,11,20752.7,40
Glenelg (S),2219.6,14,248,2,298,2,2765.6,18
Golden Plains (S),1848,12,,,,,1848,12
Greater Bendigo (C),11931.9,35,4851.6,13,1838.1,3,18621.6,51
Greater Dandenong (C),14518.7,26,4781.2,9,5089,8,24388.9,43
Greater Geelong (C),22805,52,9749.9,19,7567.4,10,40122.3,81
Greater Shepparton (C),7528.5,33,3210,6,1152.6,3,11891.1,42
Hepburn (S),1362.5,11,190,2,58,1,1610.5,14
Hindmarsh (S),756,5,24,1,78,2,858,8
Hobsons Bay (C),8842.8,17,3542,10,240,2,12624.8,29
Horsham (RC),2151.5,6,684.4,2,427,1,3262.9,9
Hume (C),21569.2,38,7158.1,12,5938,6,34665.3,56
Indigo (S),1571.4,13,264.4,3,92,1,1927.8,17
Kingston (C),13448,30,5979.3,11,2436.4,3,21863.7,44
Knox (C),13508.6,33,3189.8,10,2341.3,4,19039.7,47
Latrobe (C),8015.4,29,2820.6,8,685.7,0,11521.7,37
Loddon (S),861.1,7,52,2,,,913.1,9
Macedon Ranges (S),4961.3,19,1973.4,6,1101.4,3,8036.1,28
Manningham (C),11400.1,21,4612.4,9,1432,1,17444.5,31
Mansfield (S),810.1,4,252,1,422,2,1484.1,7
Maribyrnong (C),8144.2,15,2775,7,,,10919.2,22
Maroondah (C),10466.2,23,2902,4,4191.3,6,17559.5,33
Melbourne (C),3606.1,7,1631,5,3758,8,8995.1,20
Mildura (RC),7320.2,24,1822.2,5,646,3,9788.4,32
Mitchell (S),4693.5,14,2165.4,3,389,1,7247.9,18
Moira (S),2448.9,16,1985.3,6,299,1,4733.2,23
Monash (C),22428.7,37,7421.9,14,3859.2,4,33709.8,55
Moonee Valley (C),11085.3,22,7881.1,14,3168,2,22134.4,38
Moorabool (S),3078.9,13,521.4,6,1881,1,5481.3,20
Moreland (C),9976.7,27,5166.2,14,2741.7,3,17884.6,44
Mornington Peninsula (S),16703.5,36,4360.6,8,3941.7,4,25005.8,48
Mount Alexander (S),1877.2,14,82.8,1,228.6,2,2188.6,17
Moyne (S),1210.9,10,352.2,3,,,1563.1,13
Murrindindi (S),1483.5,14,236,2,,,1719.5,16
Nillumbik (S),7073.7,20,1759.2,4,1410.2,4,10243.1,28
Northern Grampians (S),1285.1,11,196,2,5,0,1486.1,13
Port Phillip (C),6256.9,11,1333,4,1511,2,9100.9,17
Pyrenees (S),609.3,9,,,,,609.3,9
Queenscliffe (B),186,2,136,1,,,322,3
South Gippsland (S),3617.2,18,891.6,3,185.4,1,4694.2,22
Southern Grampians (S),1479,11,774,4,759.7,3,3012.7,18
Stonnington (C),4306.5,8,6167.9,10,3405.8,6,13880.2,24
Strathbogie (S),844.1,6,239,2,,,1083.1,8
Surf Coast (S),2949.2,8,490.2,1,115,1,3554.4,10
Swan Hill (RC),2473.2,11,1220.8,3,97,1,3791,15
Towong (S),986.6,9,104,2,,,1090.6,11
Unincorporated Vic,23,2,,,,,23,2
Wangaratta (RC),2439.1,18,2043,5,705,1,5187.1,24
Warrnambool (C),3798.3,9,2651,5,236.2,1,6685.5,15
Wellington (S),4341.2,28,1808.4,7,817,1,6966.6,36
West Wimmera (S),495.8,4,56,1,,,551.8,5
Whitehorse (C),16680.9,33,4552.1,13,3274.6,6,24507.6,52
Whittlesea (C),18738.4,30,7775,13,1567,2,28080.4,45
Wyndham (C),24444,28,9247,14,6172,5,39863,47
Yarra (C),8152.5,18,1588.6,5,819,4,10560.1,27
Yarra Ranges (S),17365.1,59,4305.2,10,3998,12,25668.3,81
Yarriambiack (S),922.9,11,174,3,,,1096.9,14
Melton (C),15795.9,22,4439.4,8,2569,4,22804.3,34
Wodonga (C),4601.9,9,2123.4,4,966,4,7691.3,17
Grand Total,588908.6,1524,208341,493,134858,211,932107.6,2228
